Date,Open,High,Low,Close,Volume
2021-11-23,179.19,180.99,173.0,173.52,915247.0
2021-11-24,173.91,176.4,166.0,167.29,2737292.0
2021-11-25,168.9,169.5,160.1,164.09,1891318.0
2021-11-26,165.59,167.99,160.1,165.0,2615394.0
2021-11-29,164.7,177.37,162.26,176.46,1940503.0
2021-11-30,178.8,184.0,175.0,179.5,7106828.0
2021-12-01,181.0,182.25,179.5,180.29,572567.0
2021-12-02,179.8,181.5,169.0,172.69,1887180.0
2021-12-03,169.11,180.5,169.11,175.2,1374891.0
2021-12-06,178.0,182.0,175.5,176.92,1878974.0
2021-12-07,177.25,182.97,176.51,178.13,1525571.0
2021-12-08,180.0,180.49,176.3,177.12,529704.0
2021-12-09,177.99,181.4,176.58,178.17,992350.0
2021-12-10,179.0,179.0,176.01,177.25,185668.0
2021-12-13,176.63,179.94,172.11,174.6,535435.0
2021-12-14,174.7,176.57,173.02,175.92,170250.0
2021-12-15,178.0,188.1,175.92,185.79,2308008.0
2021-12-16,185.79,185.79,177.1,180.04,1566457.0
2021-12-17,180.8,183.5,177.0,180.85,442337.0
2021-12-20,180.0,183.12,179.3,182.59,397366.0
2021-12-21,183.4,184.0,178.52,179.17,489513.0
2021-12-22,179.17,180.25,177.81,178.16,327167.0
2021-12-23,179.08,180.9,177.91,178.31,359953.0
2021-12-24,178.1,179.95,177.1,177.59,133968.0
2021-12-27,178.2,179.49,175.63,177.83,343240.0
2021-12-28,177.12,180.0,177.0,178.03,297119.0
2021-12-29,177.98,185.0,176.75,182.81,1532318.0
2021-12-30,181.25,184.2,179.51,180.66,842211.0
2021-12-31,181.0,184.48,180.0,181.89,1330642.0
2022-01-03,181.91,183.95,180.3,182.63,390101.0
2022-01-04,182.98,184.25,181.01,183.46,378408.0
2022-01-05,183.0,189.39,182.7,187.98,1344040.0
2022-01-06,187.0,187.0,183.12,183.66,345220.0
2022-01-07,183.02,185.49,183.02,183.94,428870.0
2022-01-10,183.71,188.0,183.6,187.16,877123.0
2022-01-11,187.75,187.94,184.5,186.13,483496.0
2022-01-12,185.58,188.89,185.58,187.46,629202.0
2022-01-13,188.69,189.3,185.02,185.67,419530.0
2022-01-14,187.85,188.04,184.95,186.35,569858.0
2022-01-17,186.99,186.99,183.4,186.02,241125.0
